Step Number,Energy per particle,Pressure
0, -0.09966423654546103, 0.007682042755402699
10000, -0.10939415962773649, 0.007923051551364935
20000, -0.09073274540928096, 0.007692044568371967
30000, -0.0936567141156762, 0.007401160381440623
40000, -0.0932294079872284, 0.007826091804268536
50000, -0.09120015648066292, 0.007455586295627771
60000, -0.08848722506992093, 0.00736200391056986
70000, -0.09725389692383074, 0.007338203373573497
80000, -0.09785037474281809, 0.007427832127136102
90000, -0.09893832027088896, 0.007552292118191002
