Step Number,Energy per particle,Pressure
0, -0.06131640517117254, 0.013222701692523625
10000, -0.05672806966191768, 0.013463942718214952
20000, -0.06450665142285916, 0.01302500149276912
30000, -0.06513743975581641, 0.01333568722976594
40000, -0.04685841913722591, 0.0145106053847541
50000, -0.07363570968555537, 0.01332559887669356
60000, -0.07444607357408617, 0.012982802538071528
70000, -0.06970209648475904, 0.013211430915249197
80000, -0.06434917377297533, 0.013616330119508134
90000, -0.07085257493558841, 0.01294755720174282
